date,open,high,low,close,Volume
17.08.2013 15:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
17.08.2013 19:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
17.08.2013 23:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
18.08.2013 03:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
18.08.2013 07:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
18.08.2013 11:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
18.08.2013 15:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
18.08.2013 19:00:00.000 GMT+0200,0.85246,0.85246,0.85246,0.85246,0
18.08.2013 23:00:00.000 GMT+0200,0.85307,0.85352,0.85255,0.85337,9130.0301
19.08.2013 03:00:00.000 GMT+0200,0.85337,0.85342,0.85260,0.85283,7459.55
19.08.2013 07:00:00.000 GMT+0200,0.85282,0.85317,0.85181,0.85183,15428.170300000002
19.08.2013 11:00:00.000 GMT+0200,0.85184,0.85384,0.85119,0.85336,25029.5396
19.08.2013 15:00:00.000 GMT+0200,0.85336,0.85349,0.85163,0.85217,19563.19
19.08.2013 19:00:00.000 GMT+0200,0.85218,0.85249,0.85189,0.85203,9371.4901
19.08.2013 23:00:00.000 GMT+0200,0.85212,0.85228,0.85180,0.85219,5525.320100000001
20.08.2013 03:00:00.000 GMT+0200,0.85218,0.85336,0.85204,0.85291,8318.7401
20.08.2013 07:00:00.000 GMT+0200,0.85292,0.85372,0.85173,0.85335,22520.720200000003
20.08.2013 11:00:00.000 GMT+0200,0.85337,0.85687,0.85321,0.85658,28634.109800000002
20.08.2013 15:00:00.000 GMT+0200,0.85658,0.85734,0.85602,0.85607,23914.069600000003
20.08.2013 19:00:00.000 GMT+0200,0.85607,0.85662,0.85571,0.85619,9884.8
20.08.2013 23:00:00.000 GMT+0200,0.85618,0.85774,0.85613,0.85717,5571.88
21.08.2013 03:00:00.000 GMT+0200,0.85715,0.85723,0.85649,0.85674,7931.1799
21.08.2013 07:00:00.000 GMT+0200,0.85674,0.85689,0.85397,0.85397,20290.0699
21.08.2013 11:00:00.000 GMT+0200,0.85398,0.85507,0.85264,0.85299,23202.9097
21.08.2013 15:00:00.000 GMT+0200,0.85299,0.85363,0.85193,0.85226,21771.9595
21.08.2013 19:00:00.000 GMT+0200,0.85227,0.85351,0.85089,0.85235,29346.2604
21.08.2013 23:00:00.000 GMT+0200,0.85237,0.85439,0.85206,0.85411,11169.4501
22.08.2013 03:00:00.000 GMT+0200,0.85410,0.85530,0.85356,0.85519,10580.7402
22.08.2013 07:00:00.000 GMT+0200,0.85520,0.85741,0.85379,0.85670,23943.920400000003
22.08.2013 11:00:00.000 GMT+0200,0.85674,0.85706,0.85400,0.85511,24587.0801
22.08.2013 15:00:00.000 GMT+0200,0.85511,0.85775,0.85491,0.85685,24878.79
22.08.2013 19:00:00.000 GMT+0200,0.85684,0.85719,0.85657,0.85670,13271.129900000002
22.08.2013 23:00:00.000 GMT+0200,0.85667,0.85701,0.85605,0.85656,7693.5
23.08.2013 03:00:00.000 GMT+0200,0.85654,0.85692,0.85601,0.85617,8093.5
23.08.2013 07:00:00.000 GMT+0200,0.85617,0.85665,0.85416,0.85523,22242.6296
23.08.2013 11:00:00.000 GMT+0200,0.85524,0.85930,0.85472,0.85821,26635.6201
23.08.2013 15:00:00.000 GMT+0200,0.85821,0.86008,0.85756,0.85984,39673.680100000005
23.08.2013 19:00:00.000 GMT+0200,0.85984,0.86028,0.85868,0.85913,10718.060000000001
23.08.2013 23:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
24.08.2013 03:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
24.08.2013 07:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
24.08.2013 11:00:00.000 GMT+0200,0.85913,0.85913,0.85913,0.85913,0
