date,open,high,low,close,volume
2023-06-27 09:55:00,118.165,118.1796,117.71,117.77,287154
2023-06-27 10:00:00,117.76,118.0,117.675,117.9,278125
2023-06-27 10:05:00,117.91,118.05,117.66,117.86,265861
2023-06-27 10:10:00,117.855,117.855,117.12,117.31,322590
2023-06-27 10:15:00,117.315,117.65,117.25,117.65,257300
2023-06-27 10:20:00,117.63,117.78,117.51,117.72,209474
2023-06-27 10:25:00,117.73,118.28,117.72,118.03,236082
2023-06-27 10:30:00,118.02,118.07,117.68,117.71,201961
2023-06-27 10:35:00,117.715,117.96,117.67,117.955,165986
2023-06-27 10:40:00,117.96,118.07,117.89,117.96,159456
2023-06-27 10:45:00,117.96,118.17,117.78,118.13,202596
2023-06-27 10:50:00,118.135,118.5,118.125,118.44,226657
2023-06-27 10:55:00,118.448,118.47,118.312,118.39,165496
2023-06-27 11:00:00,118.38,118.575,118.31,118.35,202493
2023-06-27 11:05:00,118.36,118.37,118.155,118.27,130020
2023-06-27 11:10:00,118.27,118.2999,117.99,118.24,124206
2023-06-27 11:15:00,118.24,118.3899,118.16,118.37,163951
2023-06-27 11:20:00,118.38,118.6589,118.35,118.46,164871
2023-06-27 11:25:00,118.45,118.73,118.38,118.725,180566
2023-06-27 11:30:00,118.73,118.75,118.525,118.69,176800
2023-06-27 11:35:00,118.6974,118.81,118.64,118.76,151182
2023-06-27 11:40:00,118.76,118.93,118.7,118.9,127786
2023-06-27 11:45:00,118.89,118.95,118.72,118.82,166222
2023-06-27 11:50:00,118.825,118.955,118.6502,118.94,183529
2023-06-27 11:55:00,118.935,118.98,118.755,118.98,125892
2023-06-27 12:00:00,118.97,119.07,118.88,119.035,122829
2023-06-27 12:05:00,119.06,119.165,118.98,119.015,101804
2023-06-27 12:10:00,119.02,119.07,118.9,118.99,117516
2023-06-27 12:15:00,118.99,119.05,118.81,118.87,167615
2023-06-27 12:20:00,118.87,118.9,118.7239,118.77,108720
2023-06-27 12:25:00,118.765,118.9,118.71,118.895,114155
2023-06-27 12:30:00,118.9,119.01,118.8303,118.885,175607
2023-06-27 12:35:00,118.89,119.05,118.855,119.04,150311
2023-06-27 12:40:00,119.04,119.17,118.9816,119.16,121996
2023-06-27 12:45:00,119.16,119.23,119.09,119.135,120579
2023-06-27 12:50:00,119.135,119.2099,119.035,119.05,123387
